手机型号,手机品牌,是否gsm,是否cdma,网络类型,电池容量,电池拆卸,后置摄像,外观设计,是否触屏,操作系统,CPU性能,主屏尺寸,分辨率,是否有无线
sony l36h / c6603 xperia z,sony,是,是,单卡双模,2330,否,1310,直板,触屏,android,1536,5,2073600,是
sony lt22i xperia p,sony,是,是,单卡双模,1305,否,800,直板,触屏,android,1024,4,518400,是
sony lt26i,sony,是,是,单卡双模,1750,否,1200,直板,触屏,android,1536,4.3,921600,是
sony lt26i xperia s,sony,是,是,单卡双模,1750,否,1200,直板,触屏,android,1536,4.3,921600,是
sony lt26ii xperia sl,sony,是,是,单卡双模,1750,否,1210,直板,触屏,android,1741,4.3,921600,是
sony lt26w xperia acro s,sony,是,是,单卡双模,1840,否,1210,直板,触屏,android,1536,4.3,921600,是
sony lt28h,sony,是,是,单卡双模,1900,否,1200,直板,触屏,android,1536,4.6,921600,是
sony lt29i xperia tx,sony,是,是,单卡双模,1700,是,1300,直板,触屏,android,1536,4.6,921600,是
sony mt25i xperia neo l,sony,是,是,单卡双模,1500,是,500,直板,触屏,android,1024,4,409920,是
sony mt27i xperia sola,sony,是,是,单卡双模,1265,否,500,直板,触屏,android,1024,3.7,409920,是
sony st25i xperia u,sony,是,是,单卡双模,1290,是,500,直板,触屏,android,1024,3.5,409920,是
sony st26i xperia j,sony,是,是,单卡双模,1700,是,500,直板,触屏,android,1024,4,409920,是
sony st27i xperia go,sony,是,是,单卡双模,1305,否,500,直板,触屏,android,1024,3.5,153600,是
sony xperia v lt25i,sony,是,是,单卡双模,1750,是,1300,直板,触屏,android,1536,4.3,921600,是
tcl mobile tcl3688,tcl,是,否,单卡单模,800,是,0,翻盖,否,嵌入式,100,2,2500,否
vinus v6,vinus,是,否,双卡单模,1500,是,200,直板,触屏,android,1024,3.54,614400,是
vinus vs4000,vinus,是,否,双卡单模,1450,是,30,直板,触屏,嵌入式,1536,3.2,153600,是
xiaomi m2,xiaomi,是,是,单卡双模,2000,是,800,直板,触屏,miui,1536,4.3,921600,是
